,X,Y,Z,"relatedness(Y,Z)","relatedness(X,Z)",surprisal(Z),ambiguity(Z),"dissimilarity(x,y)",Score
3345,boys,gun,young,7.720546111178598e-06,3.0024345987916772e-05,0.007479529886360161,0.9573798254541006,0.2887350437426791,5.006052229619417e-13
3092,boys,grin,big,8.12752425494552e-06,1.930287010549561e-05,0.008858028584122376,0.9337404248674882,0.35784124113806137,4.972876013398202e-13
2938,boys,surprise,big,9.693560270917415e-06,1.1511102821714432e-05,0.005282410194559,0.5568281805088076,0.8306109036771168,4.895871364265117e-13
2848,boys,fans,big,6.5522896881466475e-06,1.7784786296398043e-05,0.008161384525462357,0.8603059452722673,0.5097127347561436,4.847647871415344e-13
2975,boys,winners,big,6.438438136507171e-06,1.7475760656233748e-05,0.008019573595852324,0.845357404927492,0.5341409402271478,4.819741643933876e-13
3085,boys,strides,big,6.3924086467381064e-06,1.7350823469717716e-05,0.007962240299646609,0.8393138009980425,0.5435889493373784,4.800544736555348e-13
3369,boys,soldiers,young,5.724696636676481e-06,2.8623483183382404e-05,0.007130553251950809,0.9127108162497035,0.4085439024866789,4.773499923336373e-13
2926,boys,plus,big,6.85688060480507e-06,1.8611533070185187e-05,0.008540776114071374,0.9002982821421119,0.43518968039456735,4.743344433483505e-13
2783,boys,tax,big,8.044068994706881e-06,1.2736442574952562e-05,0.0058447148932967595,0.6161017111051643,0.7876449204141297,4.716477167114042e-13
2787,boys,move,big,6.826211272177329e-06,1.4410890463485474e-05,0.0066131139540677834,0.6971000120993804,0.7169434005558618,4.664030915964076e-13
2822,boys,success,big,7.992823046868505e-06,1.26553031575418e-05,0.005807480260581755,0.6121767427625003,0.7906996323318207,4.644853604470287e-13
3346,boys,African,young,6.832984741183126e-06,2.989430824267618e-05,0.0074471354687674065,0.953233340002228,0.3021435730594768,4.596228103916933e-13
2904,boys,star,big,6.994828731997332e-06,1.8985963701135615e-05,0.008712601195709652,0.9184106672183351,0.3955324721316602,4.576565797267217e-13
2730,boys,Plains,High,1.0034672738442045e-05,9.317910399981899e-06,0.00624948122743676,0.6221705755314819,0.7828567677038338,4.574546237054368e-13
3365,boys,folks,young,8.729658688034786e-06,3.0553805408121744e-05,0.007611426433203571,0.9742625834500571,0.22528755772818565,4.57368060884111e-13
3101,boys,rigs,big,8.277759790650775e-06,1.9659679502795593e-05,0.00902176733504869,0.9510004155533678,0.3090579506766483,4.537543447334098e-13
3077,boys,splash,big,8.277759790650775e-06,1.9659679502795593e-05,0.00902176733504869,0.9510004155533678,0.3090579506766483,4.537543447334098e-13
